"inheritance","OOP mechanism where one class derives from another, inheriting its properties and behaviors","medium"
"polymorphism","OOP capability that allows one interface to be used for different underlying types (e.g., virtual functions enabling dynamic binding)","medium"
"encapsulation","OOP principle of hiding internal data and implementation details of an object, exposing only a defined interface","medium"
"abstraction","OOP concept of simplifying complexity by modeling relevant features and ignoring unnecessary details","medium"
"overloading","Using the same function or operator name for different purposes, distinguished by different parameter types or counts","medium"
"overriding","Providing a new implementation for a virtual function in a derived class, replacing the base class’s version","medium"
"virtual","Keyword indicating that a class method can be overridden in derived classes, enabling runtime polymorphic behavior","medium"
"abstract_class","A class that cannot be instantiated because it declares one or more functions without implementations (pure virtual functions)","medium"
"friend","Keyword allowing a non-member function or another class to access the private members of a class","medium"
"static","Keyword indicating that a variable or function has a lifetime or scope spanning the entire program or a single class, rather than per instance or block","medium"
"template","C++ feature that allows writing generic code with placeholders for types or values, which are specified when the template is used","medium"
"exception","An error or unexpected condition that can be thrown and potentially caught by specialized handling code","medium"
"throw","Statement used to signal an exceptional condition by creating and propagating an exception object","medium"
"catch","Clause that catches and handles an exception thrown by a preceding try block, matching by type","medium"
"using","C++ keyword used to introduce a name from a namespace into the current scope or to create a type alias (C++11)","medium"
"typedef","Legacy keyword used to create an alias for an existing type","medium"
"namespace","Feature allowing grouping of related identifiers (types, functions, etc.) under a named scope to avoid naming conflicts","medium"
"inline","Keyword suggesting that a function’s code be expanded at the call site to avoid the overhead of a function call","medium"
"auto","Keyword that enables type inference for variable declarations, letting the compiler deduce the type from the initializer","medium"
"union","A user-defined type where all members share the same memory location, meaning only one member’s value is stored at a time","medium"
"fopen","C library function that returns a FILE pointer for a given file name and mode (used to open a file)","medium"
"fclose","C library function that closes an open file, releasing the file pointer and associated resources","medium"
"fstream","C++ library class for file I/O, providing ifstream for reading from files and ofstream for writing to files","medium"
"cerr","Standard output stream (like cout) designated for error messages; typically unbuffered and auto-flushed","medium"
"list","STL container implemented as a doubly linked chain of elements, allowing efficient insertion and removal at any position, but not random access","medium"
"deque","STL sequence container supporting efficient insertion and deletion at both ends (double-ended queue)","medium"
"stack","Container adaptor providing a last-in, first-out data structure (elements can only be added or removed from the top)","medium"
"queue","Container adaptor providing a first-in, first-out data structure (elements are added at the back and removed from the front)","medium"
"iterator","Object similar to a pointer that can traverse the elements of a container; used to access container items sequentially","medium"
"lambda","An inline, unnamed function (closure) defined within an expression, which can capture variables from its surrounding scope (C++11)","medium"
"functor","An object that behaves like a function, achieved by overloading the function call operator ()","medium"
"function_pointer","Variable that stores the address of a function, allowing the function to be invoked indirectly through it","medium"
